combo,disc,id,n,dens,diameter,ev1,ev2,mgap,param
degree-betweenness,280,1,100,0.050505050505050504,6,6.069560304954202,4.461240836692539,0.796,0.05
degree-closeness,421,1,100,0.050505050505050504,6,6.069560304954202,4.461240836692539,0.796,0.05
degree-eigenvector,446,1,100,0.050505050505050504,6,6.069560304954202,4.461240836692539,0.796,0.05
betweenness-closeness,761,1,100,0.050505050505050504,6,6.069560304954202,4.461240836692539,0.796,0.05
betweenness-eigenvector,1012,1,100,0.050505050505050504,6,6.069560304954202,4.461240836692539,0.796,0.05
closeness-eigenvector,576,1,100,0.050505050505050504,6,6.069560304954202,4.461240836692539,0.796,0.05
degree-betweenness,227,1,100,0.10303030303030303,4,11.27896233918506,5.6861844754285595,0.7568627450980392,0.1
degree-closeness,141,1,100,0.10303030303030303,4,11.27896233918506,5.6861844754285595,0.7568627450980392,0.1
degree-eigenvector,252,1,100,0.10303030303030303,4,11.27896233918506,5.6861844754285595,0.7568627450980392,0.1
betweenness-closeness,511,1,100,0.10303030303030303,4,11.27896233918506,5.6861844754285595,0.7568627450980392,0.1
betweenness-eigenvector,783,1,100,0.10303030303030303,4,11.27896233918506,5.6861844754285595,0.7568627450980392,0.1
closeness-eigenvector,372,1,100,0.10303030303030303,4,11.27896233918506,5.6861844754285595,0.7568627450980392,0.1
degree-betweenness,222,1,100,0.19515151515151516,3,20.29689614388014,7.291574263184427,0.6594202898550725,0.2
degree-closeness,107,1,100,0.19515151515151516,3,20.29689614388014,7.291574263184427,0.6594202898550725,0.2
degree-eigenvector,156,1,100,0.19515151515151516,3,20.29689614388014,7.291574263184427,0.6594202898550725,0.2
betweenness-closeness,400,1,100,0.19515151515151516,3,20.29689614388014,7.291574263184427,0.6594202898550725,0.2
betweenness-eigenvector,648,1,100,0.19515151515151516,3,20.29689614388014,7.291574263184427,0.6594202898550725,0.2
closeness-eigenvector,270,1,100,0.19515151515151516,3,20.29689614388014,7.291574263184427,0.6594202898550725,0.2
degree-betweenness,72,1,100,0.046868686868686865,6,5.3935456369950625,3.9838137744174094,0.8275862068965517,0.05
degree-closeness,337,1,100,0.046868686868686865,6,5.3935456369950625,3.9838137744174094,0.8275862068965517,0.05
degree-eigenvector,316,1,100,0.046868686868686865,6,5.3935456369950625,3.9838137744174094,0.8275862068965517,0.05
betweenness-closeness,664,1,100,0.046868686868686865,6,5.3935456369950625,3.9838137744174094,0.8275862068965517,0.05
betweenness-eigenvector,742,1,100,0.046868686868686865,6,5.3935456369950625,3.9838137744174094,0.8275862068965517,0.05
closeness-eigenvector,272,1,100,0.046868686868686865,6,5.3935456369950625,3.9838137744174094,0.8275862068965517,0.05
degree-betweenness,128,1,100,0.08868686868686868,4,9.673747674760456,5.587282698342653,0.7927107061503417,0.1
degree-closeness,284,1,100,0.08868686868686868,4,9.673747674760456,5.587282698342653,0.7927107061503417,0.1
degree-eigenvector,270,1,100,0.08868686868686868,4,9.673747674760456,5.587282698342653,0.7927107061503417,0.1
betweenness-closeness,566,1,100,0.08868686868686868,4,9.673747674760456,5.587282698342653,0.7927107061503417,0.1
betweenness-eigenvector,735,1,100,0.08868686868686868,4,9.673747674760456,5.587282698342653,0.7927107061503417,0.1
closeness-eigenvector,393,1,100,0.08868686868686868,4,9.673747674760456,5.587282698342653,0.7927107061503417,0.1
degree-betweenness,230,1,100,0.21212121212121213,3,21.722670302634057,7.2488135425665146,0.6666666666666666,0.2
degree-closeness,41,1,100,0.21212121212121213,3,21.722670302634057,7.2488135425665146,0.6666666666666666,0.2
degree-eigenvector,138,1,100,0.21212121212121213,3,21.722670302634057,7.2488135425665146,0.6666666666666666,0.2
betweenness-closeness,335,1,100,0.21212121212121213,3,21.722670302634057,7.2488135425665146,0.6666666666666666,0.2
betweenness-eigenvector,664,1,100,0.21212121212121213,3,21.722670302634057,7.2488135425665146,0.6666666666666666,0.2
closeness-eigenvector,197,1,100,0.21212121212121213,3,21.722670302634057,7.2488135425665146,0.6666666666666666,0.2
degree-betweenness,357,1,100,0.05818181818181818,6,6.765948632976307,4.543215543072441,0.8159722222222222,0.05
degree-closeness,266,1,100,0.05818181818181818,6,6.765948632976307,4.543215543072441,0.8159722222222222,0.05
degree-eigenvector,297,1,100,0.05818181818181818,6,6.765948632976307,4.543215543072441,0.8159722222222222,0.05
betweenness-closeness,783,1,100,0.05818181818181818,6,6.765948632976307,4.543215543072441,0.8159722222222222,0.05
betweenness-eigenvector,1062,1,100,0.05818181818181818,6,6.765948632976307,4.543215543072441,0.8159722222222222,0.05
closeness-eigenvector,428,1,100,0.05818181818181818,6,6.765948632976307,4.543215543072441,0.8159722222222222,0.05
degree-betweenness,252,1,100,0.1004040404040404,4,10.918269531007144,5.5350323092956515,0.7585513078470825,0.1
degree-closeness,242,1,100,0.1004040404040404,4,10.918269531007144,5.5350323092956515,0.7585513078470825,0.1
degree-eigenvector,317,1,100,0.1004040404040404,4,10.918269531007144,5.5350323092956515,0.7585513078470825,0.1
betweenness-closeness,679,1,100,0.1004040404040404,4,10.918269531007144,5.5350323092956515,0.7585513078470825,0.1
betweenness-eigenvector,878,1,100,0.1004040404040404,4,10.918269531007144,5.5350323092956515,0.7585513078470825,0.1
closeness-eigenvector,391,1,100,0.1004040404040404,4,10.918269531007144,5.5350323092956515,0.7585513078470825,0.1
degree-betweenness,220,1,100,0.20404040404040402,3,21.10727912006881,7.399171180092714,0.6584158415841584,0.2
degree-closeness,78,1,100,0.20404040404040402,3,21.10727912006881,7.399171180092714,0.6584158415841584,0.2
degree-eigenvector,150,1,100,0.20404040404040402,3,21.10727912006881,7.399171180092714,0.6584158415841584,0.2
betweenness-closeness,359,1,100,0.20404040404040402,3,21.10727912006881,7.399171180092714,0.6584158415841584,0.2
betweenness-eigenvector,626,1,100,0.20404040404040402,3,21.10727912006881,7.399171180092714,0.6584158415841584,0.2
closeness-eigenvector,240,1,100,0.20404040404040402,3,21.10727912006881,7.399171180092714,0.6584158415841584,0.2
degree-betweenness,157,1,100,0.05272727272727273,6,6.021185298990833,4.1716686778327725,0.8314176245210728,0.05
degree-closeness,289,1,100,0.05272727272727273,6,6.021185298990833,4.1716686778327725,0.8314176245210728,0.05
degree-eigenvector,365,1,100,0.05272727272727273,6,6.021185298990833,4.1716686778327725,0.8314176245210728,0.05
betweenness-closeness,752,1,100,0.05272727272727273,6,6.021185298990833,4.1716686778327725,0.8314176245210728,0.05
betweenness-eigenvector,975,1,100,0.05272727272727273,6,6.021185298990833,4.1716686778327725,0.8314176245210728,0.05
closeness-eigenvector,342,1,100,0.05272727272727273,6,6.021185298990833,4.1716686778327725,0.8314176245210728,0.05
degree-betweenness,226,1,100,0.098989898989899,4,10.688369569682928,5.803663787571792,0.7714285714285715,0.1
degree-closeness,218,1,100,0.098989898989899,4,10.688369569682928,5.803663787571792,0.7714285714285715,0.1
degree-eigenvector,207,1,100,0.098989898989899,4,10.688369569682928,5.803663787571792,0.7714285714285715,0.1
betweenness-closeness,691,1,100,0.098989898989899,4,10.688369569682928,5.803663787571792,0.7714285714285715,0.1
betweenness-eigenvector,829,1,100,0.098989898989899,4,10.688369569682928,5.803663787571792,0.7714285714285715,0.1
closeness-eigenvector,322,1,100,0.098989898989899,4,10.688369569682928,5.803663787571792,0.7714285714285715,0.1
degree-betweenness,257,1,100,0.21131313131313134,3,21.79713264213575,7.6663958950863975,0.6634799235181644,0.2
degree-closeness,82,1,100,0.21131313131313134,3,21.79713264213575,7.6663958950863975,0.6634799235181644,0.2
degree-eigenvector,172,1,100,0.21131313131313134,3,21.79713264213575,7.6663958950863975,0.6634799235181644,0.2
betweenness-closeness,292,1,100,0.21131313131313134,3,21.79713264213575,7.6663958950863975,0.6634799235181644,0.2
betweenness-eigenvector,741,1,100,0.21131313131313134,3,21.79713264213575,7.6663958950863975,0.6634799235181644,0.2
closeness-eigenvector,332,1,100,0.21131313131313134,3,21.79713264213575,7.6663958950863975,0.6634799235181644,0.2
degree-betweenness,234,1,100,0.05595959595959596,6,6.577619054478264,4.682850591363776,0.8014440433212996,0.05
degree-closeness,349,1,100,0.05595959595959596,6,6.577619054478264,4.682850591363776,0.8014440433212996,0.05
degree-eigenvector,357,1,100,0.05595959595959596,6,6.577619054478264,4.682850591363776,0.8014440433212996,0.05
betweenness-closeness,747,1,100,0.05595959595959596,6,6.577619054478264,4.682850591363776,0.8014440433212996,0.05
betweenness-eigenvector,915,1,100,0.05595959595959596,6,6.577619054478264,4.682850591363776,0.8014440433212996,0.05
closeness-eigenvector,429,1,100,0.05595959595959596,6,6.577619054478264,4.682850591363776,0.8014440433212996,0.05
degree-betweenness,153,1,100,0.10525252525252525,4,11.496583900652254,5.954767842797935,0.7504798464491362,0.1
degree-closeness,320,1,100,0.10525252525252525,4,11.496583900652254,5.954767842797935,0.7504798464491362,0.1
degree-eigenvector,447,1,100,0.10525252525252525,4,11.496583900652254,5.954767842797935,0.7504798464491362,0.1
betweenness-closeness,626,1,100,0.10525252525252525,4,11.496583900652254,5.954767842797935,0.7504798464491362,0.1
betweenness-eigenvector,929,1,100,0.10525252525252525,4,11.496583900652254,5.954767842797935,0.7504798464491362,0.1
