combo,disc,id,n,dens,diameter,ev1,ev2,mgap,param
degree-betweenness,21,1,100,0.0397979797979798,4,10.38251337468431,5.383340250767044,0.350253807106599,2.5
degree-closeness,572,1,100,0.0397979797979798,4,10.38251337468431,5.383340250767044,0.350253807106599,2.5
degree-eigenvector,632,1,100,0.0397979797979798,4,10.38251337468431,5.383340250767044,0.350253807106599,2.5
betweenness-closeness,1509,1,100,0.0397979797979798,4,10.38251337468431,5.383340250767044,0.350253807106599,2.5
betweenness-eigenvector,1625,1,100,0.0397979797979798,4,10.38251337468431,5.383340250767044,0.350253807106599,2.5
closeness-eigenvector,200,1,100,0.0397979797979798,4,10.38251337468431,5.383340250767044,0.350253807106599,2.5
degree-betweenness,218,1,100,0.09797979797979797,3,17.911604548266485,5.976679270972175,0.23505154639175257,5
degree-closeness,657,1,100,0.09797979797979797,3,17.911604548266485,5.976679270972175,0.23505154639175257,5
degree-eigenvector,785,1,100,0.09797979797979797,3,17.911604548266485,5.976679270972175,0.23505154639175257,5
betweenness-closeness,1718,1,100,0.09797979797979797,3,17.911604548266485,5.976679270972175,0.23505154639175257,5
betweenness-eigenvector,2105,1,100,0.09797979797979797,3,17.911604548266485,5.976679270972175,0.23505154639175257,5
closeness-eigenvector,506,1,100,0.09797979797979797,3,17.911604548266485,5.976679270972175,0.23505154639175257,5
degree-betweenness,139,1,100,0.1909090909090909,3,27.726794864766838,6.301556124616015,0.22645502645502646,10
degree-closeness,0,1,100,0.1909090909090909,3,27.726794864766838,6.301556124616015,0.22645502645502646,10
degree-eigenvector,654,1,100,0.1909090909090909,3,27.726794864766838,6.301556124616015,0.22645502645502646,10
betweenness-closeness,157,1,100,0.1909090909090909,3,27.726794864766838,6.301556124616015,0.22645502645502646,10
betweenness-eigenvector,1309,1,100,0.1909090909090909,3,27.726794864766838,6.301556124616015,0.22645502645502646,10
closeness-eigenvector,642,1,100,0.1909090909090909,3,27.726794864766838,6.301556124616015,0.22645502645502646,10
degree-betweenness,53,1,100,0.0397979797979798,3,12.228471460565896,4.593149885150511,0.14213197969543148,2.5
degree-closeness,343,1,100,0.0397979797979798,3,12.228471460565896,4.593149885150511,0.14213197969543148,2.5
degree-eigenvector,372,1,100,0.0397979797979798,3,12.228471460565896,4.593149885150511,0.14213197969543148,2.5
betweenness-closeness,890,1,100,0.0397979797979798,3,12.228471460565896,4.593149885150511,0.14213197969543148,2.5
betweenness-eigenvector,997,1,100,0.0397979797979798,3,12.228471460565896,4.593149885150511,0.14213197969543148,2.5
closeness-eigenvector,135,1,100,0.0397979797979798,3,12.228471460565896,4.593149885150511,0.14213197969543148,2.5
degree-betweenness,67,1,100,0.09797979797979797,3,17.227867522960338,5.98488133650379,0.29690721649484536,5
degree-closeness,867,1,100,0.09797979797979797,3,17.227867522960338,5.98488133650379,0.29690721649484536,5
degree-eigenvector,846,1,100,0.09797979797979797,3,17.227867522960338,5.98488133650379,0.29690721649484536,5
betweenness-closeness,1871,1,100,0.09797979797979797,3,17.227867522960338,5.98488133650379,0.29690721649484536,5
betweenness-eigenvector,2083,1,100,0.09797979797979797,3,17.227867522960338,5.98488133650379,0.29690721649484536,5
closeness-eigenvector,555,1,100,0.09797979797979797,3,17.227867522960338,5.98488133650379,0.29690721649484536,5
degree-betweenness,174,1,100,0.1909090909090909,3,27.108187314602567,6.588136233462384,0.24973544973544973,10
degree-closeness,117,1,100,0.1909090909090909,3,27.108187314602567,6.588136233462384,0.24973544973544973,10
degree-eigenvector,512,1,100,0.1909090909090909,3,27.108187314602567,6.588136233462384,0.24973544973544973,10
betweenness-closeness,504,1,100,0.1909090909090909,3,27.108187314602567,6.588136233462384,0.24973544973544973,10
betweenness-eigenvector,1218,1,100,0.1909090909090909,3,27.108187314602567,6.588136233462384,0.24973544973544973,10
closeness-eigenvector,407,1,100,0.1909090909090909,3,27.108187314602567,6.588136233462384,0.24973544973544973,10
degree-betweenness,86,1,100,0.0397979797979798,4,11.889828520137307,4.046477332528855,0.17766497461928935,2.5
degree-closeness,614,1,100,0.0397979797979798,4,11.889828520137307,4.046477332528855,0.17766497461928935,2.5
degree-eigenvector,735,1,100,0.0397979797979798,4,11.889828520137307,4.046477332528855,0.17766497461928935,2.5
betweenness-closeness,1310,1,100,0.0397979797979798,4,11.889828520137307,4.046477332528855,0.17766497461928935,2.5
betweenness-eigenvector,1646,1,100,0.0397979797979798,4,11.889828520137307,4.046477332528855,0.17766497461928935,2.5
closeness-eigenvector,355,1,100,0.0397979797979798,4,11.889828520137307,4.046477332528855,0.17766497461928935,2.5
degree-betweenness,164,1,100,0.09797979797979797,3,19.090370907819928,5.621658179671652,0.18969072164948453,5
degree-closeness,248,1,100,0.09797979797979797,3,19.090370907819928,5.621658179671652,0.18969072164948453,5
degree-eigenvector,641,1,100,0.09797979797979797,3,19.090370907819928,5.621658179671652,0.18969072164948453,5
betweenness-closeness,1235,1,100,0.09797979797979797,3,19.090370907819928,5.621658179671652,0.18969072164948453,5
betweenness-eigenvector,2077,1,100,0.09797979797979797,3,19.090370907819928,5.621658179671652,0.18969072164948453,5
closeness-eigenvector,381,1,100,0.09797979797979797,3,19.090370907819928,5.621658179671652,0.18969072164948453,5
degree-betweenness,196,1,100,0.1909090909090909,3,27.514682533076204,6.689092470626408,0.23492063492063492,10
degree-closeness,0,1,100,0.1909090909090909,3,27.514682533076204,6.689092470626408,0.23492063492063492,10
degree-eigenvector,501,1,100,0.1909090909090909,3,27.514682533076204,6.689092470626408,0.23492063492063492,10
